time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:26:13.032934,25.041275155187822,24.864408113828137,2.925980864982928,3.023882893266214,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:15.034425,24.321422112778155,24.928129537315506,2.994445568370452,2.7657336251825115,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:16.041436,23.96568725177919,25.289539083617647,3.273437608588655,2.635094913059866,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:18.047051,24.878076744904384,25.402372059077443,3.3496858581258926,2.9735513527782413,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:19.054355,25.365786370847193,25.135168909813853,3.14057461934724,3.1534944681956802,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:21.054869,25.477691197904075,24.635408294893114,2.7572496672547335,3.1928588560439546,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:22.060618,25.086463967719414,24.377791102694907,2.569297996197897,3.0412114645125503,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:24.064865,24.36730231237813,25.052011290547483,3.097507751115698,2.78787464056847,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:27.083565,24.890859679961263,24.940572833036452,3.01305731713859,2.986340052101888,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:30.092989,26.280602554983002,25.31877761369959,3.2942866202632812,3.501961484250765,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:31.099381,26.734602280987776,25.6874365160016,3.5573951429603317,3.6619571441044707,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:33.100350,26.01271801097013,25.201070035260383,3.157246469101954,3.374149131580145,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:26:34.187680,25.595926264467295,24.920847880677165,2.939035439225253,3.214776457926245,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
